   股票代码   　股票名称　  最新价   
  600744  　华银电力　  4.91  
  600854  　春兰股份　  6.45  
  603227  　雪峰科技　  8.31  
  600689  　上海三毛　  9.63  
  603178  　圣龙股份　  9.96  
  600698  　湖南天雁　  4.27  
  600624  　复旦复华　  7.34  
  603967  　中创物流　 13.81  
  600293  　三峡新材　  3.4   
  600228  　返利科技　  7.57  
  603696  　安记食品　 11.09  
  603069  　海汽集团　 11.42  
  600850  　电科数字　 25.27  
  603215  　比依股份　 19.34  
  600502  　安徽建工　  8.36  
  600720  　祁连山　　 11.77  
  603183  　建研院　　  7.04  
  605011  　杭州热电　 16.94  
  605286  　同力日升　 29.15  
  605580  　恒盛能源　 13.31  
  605069  　正和生态　 16.51  
  600838  　上海九百　  9.91  
  600822  　上海物贸　  9.03  
  603214  　爱婴室　　 17.51  
  603206  　嘉环科技　 30.62  
  603390  　通达电气　  8.27  
  600200  　江苏吴中　  7.95  
  603388  　元成股份　  7.29  
  603126  　中材节能　  6.86  
  603538  　美诺华　　 52.49  
  603366  　日出东方　  4.44  
  600082  　海泰发展　   4    
  601886  　江河集团　   6    
  600703  　三安光电　 21.05  
  600805  　悦达投资　  4.89  
  600775  　南京熊猫　  8.54  
  600778  　友好集团　  5.85  
  603779  　威龙股份　  7.26  
  603051  　鹿山新材　 43.91  
  603578  　三星新材　 16.33  
  603023  　威帝股份　  5.03  
  600545  　卓郎智能　  3.62  
  600119  　长江投资　  6.83  
  603398  　沐邦高科　 25.64  
  600284  　浦东建设　  7.95  
  603938  DR三孚股　 38.51  
  600267  　海正药业　 13.38  
  603301  　振德医疗　 37.43  
  605162  　新中港　　  9.49  
